SELECTION,GrowthForm,Matched_Scientific_name,SUA_presence,SUA top 100,comment,
3,forb,Senecio pinnatifolius var. pinnatifolius,29,6,,
1,forb,Senecio quadridentatus,31,13,,
6,forb,Sida corrugata,18,4,,
2,forb,Sida rhombifolia,25,11,,
3,forb,Silybum marianum,32,9,,
3,forb,Sisymbrium orientale,25,7,,
2,vine,Smilax australis,20,12,,
4,vine,Smilax glyciphylla,16,9,,
3,shrub,Solanum aviculare,26,6,,
1,forb,Solanum nigrum,43,12,,
4,shrub,Solanum stelligerum,18,6,,
1,forb,Sonchus asper,34,11,,
1,forb,Sonchus oleraceus,45,21,,
3,grass,Sporobolus africanus,36,9,,
3,grass,Sporobolus virginicus,31,8,,
6,shrub,Spyridium parvifolium,13,4,,
3,forb,Stackhousia monogyna,35,6,,
6,tree,Stenocarpus sinuatus,17,5,,
4,fern,Sticherus flabellatus var. flabellatus,16,6,,
9,shrub,Stirlingia latifolia,5,3,,
4,tree,Streblus brunonianus,18,8,,
3,forb,Stylidium graminifolium,35,9,,
3,forb,Stypandra glauca,24,6,,
6,shrub,Styphelia triflora,12,4,,
3,forb,Suaeda australis,29,6,,
4,tree,Syncarpia glomulifera,13,6,,
6,tree,Synoum glandulosum subsp. glandulosum,12,5,,
3,shrub,Syzygium australe,21,7,,
4,tree,Syzygium oleosum,18,6,,
2,forb,Taraxacum sect. Taraxacum,29,10,,
6,sedge,Tetraria octandra,4,4,,
4,grass,Tetrarrhena juncea,18,6,,
4,vine,Tetrastigma nitens,18,6,,
6,shrub,Tetratheca ciliata,11,4,,
3,forb,Thelymitra,36,6,,
1,grass,Themeda triandra,45,33,,
9,vine,Thysanotus manglesianus,5,3,,
3,forb,Thysanotus patersonii,25,8,,
3,fern,Todea barbara,23,9,,
9,forb,Trachymene pilosa,6,3,,
1,forb,Tricoryne elatior,42,14,,
3,forb,Trifolium arvense,22,6,,
3,forb,Trifolium campestre,27,7,,
4,forb,Trifolium fragiferum var. fragiferum,17,6,,
3,forb,Trifolium subterraneum,31,8,,
3,sedge,Triglochin striata,33,9,,
,tree,Tristaniopsis laurina,,,,
6,shrub,Triumfetta rhomboidea,10,5,,
4,shrub,Trochocarpa laurina,16,6,,
3,vine,Trophis scandens subsp. scandens,21,6,,
6,tree,Turraea pubescens,8,4,,
3,sedge,Typha domingensis,37,6,,
3,sedge,Typha orientalis,37,6,,
2,shrub,Ulex europaeus,27,10,,
,tree,Ulmus parvifolia,,,,
3,forb,Urtica urens,34,7,,
9,tree,Vachellia bidwillii,6,3,,
3,forb,Verbascum virgatum,34,6,,
5,forb,Verbena bonariensis,33,5,,
2,forb,Veronica plebeia,30,10,,
3,vine,Vinca major,27,8,,
3,forb,Viola betonicifolia,21,7,,
1,forb,Viola hederacea,33,18,,
1,grass,Vulpia bromoides,32,11,,
3,grass,Vulpia myuros,31,8,,
1,forb,Wahlenbergia gracilis,37,10,,
3,forb,Wahlenbergia luteola,21,7,,
3,forb,Wahlenbergia stricta subsp. stricta,32,7,,
,tree,Waterhousia floribunda,,,,
4,shrub,Wilkiea hugeliana,12,6,,
3,forb,Wurmbea dioica subsp. dioica,25,7,,
3,lichen,Xanthoparmelia,30,6,,
3,shrub,Xanthorrhoea,35,6,,
6,shrub,Xanthorrhoea minor subsp. lutea,8,4,,
6,shrub,Xanthorrhoea preissii,5,4,,
6,forb,Xanthosia huegelii,8,4,,
3,forb,Xerochrysum bracteatum,40,6,,
4,forb,Xerochrysum viscosum,15,6,,
4,shrub,Zieria smithii,17,6,,
