Species,Plant type,ACT,NSW,NT,QLD,SA,VIC,WA,Number of growers,Number of States,Origin,Count,Synonym
Westringia fruticosa Smokey,Shrub,2,30,2,25,1,28,11,99,7,Native,,
Westringia fruticosa Zena,Shrub,1,36,,73,1,21,3,135,6,Native,,
Westringia glabra,Shrub,3,7,,,,22,,32,3,Native,,
Westringia longifolia,Shrub,4,8,1,2,,11,,26,5,Native,,
Westringia spp. Aussie Box,Shrub,1,19,,15,,24,4,63,5,Native,,
Westringia spp. Blue Gem,Shrub,2,11,,8,,21,3,45,5,Native,,
Westringia spp. Naringa,Shrub,2,15,,13,,19,2,51,5,Native,,
Westringia spp. Sea Mist,Shrub,,19,,14,,9,,42,3,Native,,
Westringia spp. White Rambler,Shrub,,2,,14,,5,5,26,4,Native,,
Westringia spp. Wynyabbie Gem,Shrub,6,35,,72,1,65,8,187,6,Native,,
Wisteria sinensis,Climber,,15,,6,1,23,1,46,5,Exotic,,
Wodyetia bifurcata,Palm,,18,8,222,,5,1,254,5,Native,,
Xanthorrhoea australis,Cycad,2,13,,6,,68,,89,4,Native,,
Xanthorrhoea glauca,Cycad,,45,2,44,,47,,138,4,Native,,
Xanthorrhoea johnsonii,Cycad,2,61,5,69,,61,,198,5,Native,,
Xanthostemon chrysanthus,Tree,,23,2,164,,,,189,3,Native ,,
Xanthostemon chrysanthus Fairhill Gold,Tree,,8,3,39,,,,50,3,Native,,
Xanthostemon chrysanthus Little Goldie,Tree,,4,4,22,,,,30,3,Native,,
Yucca desmetiana,Herb,,8,,,15,11,2,36,4,Exotic,,Variety
Yucca elephantipes,Shrub,,110,7,,169,83,17,386,5,Exotic,,
Yucca elephantipes Silver Star,Shrub,,29,8,,69,28,8,142,5,Exotic,,
Yucca elephantipes Variegated,Shrub,,5,,,8,12,1,26,4,Exotic,,
Yucca gloriosa Bright Edge,Shrub,1,6,2,,10,3,6,28,6,Exotic,,
Zamia furfuracea,Cycad,,28,8,111,,19,6,172,5,Exotic,,
Zamioculcas zamiifolia,Herb,,20,5,53,,19,3,100,5,Exotic,,
Zantedeschia aethiopica,Herb,,14,,5,,8,,27,3,Exotic,,
Zelkova serrata,Tree,4,17,,,5,37,1,64,5,Exotic,,
Zelkova serrata Green Vase,Tree,8,23,,,6,54,,91,4,Exotic,,
Zephyranthes candida,Herb,1,24,2,45,,2,,74,5,Exotic,,
Zoysia tenuifolia,Grass,,21,,83,,8,,112,3,Exotic,,
